Cidade,Cliente,ClienteId,CodigoPrimesys,Description,Estado,Location,Operadora,PrimeId,SerialName,Servico,Solucao,Tecnologia,TipoNegocio,TipoServico
Teresina,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173130.0000000,SICR,,PI,,,SICR#SDW-VELO-UA_SHOPPING_POTY#00,,SDWAN - VELOCLOUD,202165457,VELOCLOUD,FLEX,SDWAN
Campina Grande,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173142.0000000,SICR,,PB,,,SICR#SDWVELO-UA_UNIMED-GER#00,,SDWAN - VELOCLOUD,202165469,VELOCLOUD,FLEX,SDWAN
Sobral,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173203.0000000,SICR,,CE,,,SICR#SDW-VELO-UA_SOBRAL-GER#00,,SDWAN - VELOCLOUD,202165531,VELOCLOUD,FLEX,SDWAN
Cabedelo,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173207.0000000,SICR,,PB,,,SICR#SDW-VELO-CENTRAL1_SEDE_UNICRED#00,,SDWAN - VELOCLOUD,202165535,VELOCLOUD,FLEX,SDWAN
Arcoverde,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173208.0000000,SICR,,PE,,,SICR#SDW-VELO-PAC_ARCOVERDE#00,,SDWAN - VELOCLOUD,202165536,VELOCLOUD,FLEX,SDWAN
Arapiraca,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173209.0000000,SICR,,AL,,,SICR#SDW-VELO-PAC_ARAPIRACA#00,,SDWAN - VELOCLOUD,202165537,VELOCLOUD,FLEX,SDWAN
Ananindeua,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173210.0000000,SICR,,PA,,,SICR#SDW-VELO-UA_ANANINDEUA#00,,SDWAN - VELOCLOUD,202165538,VELOCLOUD,FLEX,SDWAN
Aracaju,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173211.0000000,SICR,,SE,,,SICR#SDW-VELO-ARACAJU_SEDE#00,,SDWAN - VELOCLOUD,202165539,VELOCLOUD,FLEX,SDWAN
Aracaju,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173212.0000000,SICR,,SE,,,SICR#SDW-VELO-SIQUEIRA_CAMPOS#00,,SDWAN - VELOCLOUD,202165540,VELOCLOUD,FLEX,SDWAN
Aracaju,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173213.0000000,SICR,,SE,,,SICR#SDW-VELO-BOULEVARD_SIC_CARIRI#00,,SDWAN - VELOCLOUD,202165541,VELOCLOUD,FLEX,SDWAN
Belém,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173215.0000000,SICR,,PA,,,SICR#SDW-VELO-UA_GENERALISMO#00,,SDWAN - VELOCLOUD,202165543,VELOCLOUD,FLEX,SDWAN
Castanhal,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173216.0000000,SICR,,PA,,,SICR#SDW-VELO-UA_CASTANHAL#00,,SDWAN - VELOCLOUD,202165544,VELOCLOUD,FLEX,SDWAN
Campina Grande,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173217.0000000,SICR,,PB,,,SICR#SDWVELO-PAC_ANTIGA_SEDE_UCCREDUNI#00,,SDWAN - VELOCLOUD,202165545,VELOCLOUD,FLEX,SDWAN
Campina Grande,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173220.0000000,SICR,,PB,,,SICR#SDW-VELO-UECG_SIC_CREDUNI#00,,SDWAN - VELOCLOUD,202165548,VELOCLOUD,FLEX,SDWAN
Campina Grande,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173221.0000000,SICR,,PB,,,SICR#SDWVELO-SIC_CREDUNI#00,,SDWAN - VELOCLOUD,202165549,VELOCLOUD,FLEX,SDWAN
Campina Grande,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173222.0000000,SICR,,PB,,,SICR#SDW-VELO-UA_CATOLE#00,,SDWAN - VELOCLOUD,202165550,VELOCLOUD,FLEX,SDWAN
Caruaru,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173223.0000000,SICR,,PE,,,SICR#SDWVELO-PAC_CARUARU#00,,SDWAN - VELOCLOUD,202165551,VELOCLOUD,FLEX,SDWAN
