"_key",templateName,thresholdDuration,thresholdIndex,thresholdMessage,thresholdMetric,thresholdSeverityCode,thresholdType,thresholdValue
60ca2692b24da96913130806,"Template FORTINET",10,"vpn-011-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da96913130807,"Template FORTINET",10,"vpn-011-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da96913130808,"Template FORTINET",10,"vpn-011-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da96913130809,"Template FORTINET",10,"vpn-011-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da9691313080a,"Template FORTINET",10,"vpn-011-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da9691313080b,"Template FORTINET",10,"vpn-018-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da9691313080c,"Template FORTINET",10,"vpn-018-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da9691313080d,"Template FORTINET",10,"vpn-018-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da9691313080e,"Template FORTINET",10,"vpn-018-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da9691313080f,"Template FORTINET",10,"vpn-018-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da96913130810,"Template FORTINET",10,"vpn-018-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da96913130811,"Template FORTINET",10,"vpn-016-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da96913130812,"Template FORTINET",10,"vpn-016-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da96913130813,"Template FORTINET",10,"vpn-016-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
