metric,edgeId,linkId,solucao,interface,"alert_close_time","alert_time",id,impact,"last_alert_event",message,priority,status,triggers,update,urgency
status,939,,202059393,GE3,1631806803,1631806503,c2a30694c5507f5c9b0b1caac49a1c3f,high,,"Edge 939 entrou em status DEGRADED",high,CLOSED,,,high
status,939,,202059393,GE4,1631806803,1631806503,a4fe2d2e878d2655e2ebc1c07cfa74fc,high,,"Edge 939 entrou em status DEGRADED",high,CLOSED,,,high
status,433,,20197441,GE3,1631806503,1631806203,e3dfd5fec51adb040f6feedfbf8097a4,high,,"Edge 433 entrou em status DEGRADED",high,CLOSED,,,high
status,433,,20197441,GE4,1631806503,1631806203,54e03994446cf4057665657cc553ea98,high,,"Edge 433 entrou em status DEGRADED",high,CLOSED,,,high
linkState,1273,,201922181,GE4,1631802004,1631801702,27067a2ab1ad5f9fb046a50ae6a1504d,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1273,,201922181,GE4,1631800805,1631800502,200c1e69531e83ba5d15705684fab499,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,431,,20197441,GE4,1631800502,1631800202,6cee6f9a335440c43618b2919bcf6052,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,1562,,202162232,GE3,1631799002,1631682304,b81acbc83434b04190746fac2189a415,high,,"Link GE3 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1291,,null,GE4,1631797804,1631797204,0ecd5d14b90becd252a53cb628d10e9a,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
"packet_loss_percent",502,,20197441,GE3,1631797204,1631761803,8a1285301b24f37c1da224ddfb3eef1e,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,CLOSED,,,low
linkState,1578,,202162232,GE4,1631796903,1631795403,853971f352ea87ae760764626c791b11,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
status,939,,202059393,GE3,1631796604,1631796303,137c2b63a841108e5af02cdee4f90874,high,,"Edge 939 entrou em status DEGRADED",high,CLOSED,,,high
status,939,,202059393,GE4,1631796604,1631796303,8b0da37f828efe071a7444cb5b6ad328,high,,"Edge 939 entrou em status DEGRADED",high,CLOSED,,,high
linkState,1578,,202162232,GE3,1631796303,1631795103,6fe1cfe6af35afcb6b9f4c4d8069763b,high,,"Link GE3 entrou em status DISCONNECTED",high,CLOSED,,,high
status,1578,,202162232,GE3,1631796303,1631795103,39b4012efc16ba36c3bb800ed6beefb2,high,,"Edge 1578 entrou em status DEGRADED",high,CLOSED,,,high
status,1578,,202162232,GE4,1631796303,1631795103,a7834d450f24a498c6746fedcdeaa768,high,,"Edge 1578 entrou em status DEGRADED",high,CLOSED,,,high
linkState,1573,,202162232,GE4,1631796003,1631795703,685ca5f4550c8d321ba5f8a812c5b91c,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
status,1573,,202162232,GE4,1631796003,1631795403,105d095b78b3497d32a2297bb19d37d6,high,,"Edge 1573 entrou em status DEGRADED",high,CLOSED,,,high
linkState,430,,20197441,GE4,1631791503,1631791203,0054b56e26cad03ab585e363aab1c693,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1273,,201922181,GE4,1631791203,1631790903,4a9a9cf0277919019c2330f74aeaf2c2,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,2088,,null,GE1,1631787603,1631784303,6960c55eca434a14a4ceb837139be838,high,,"Link GE1 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1585,,202162232,GE2,1631786104,1631785803,de1eb7f0d48190f784b44cd0b0c3070a,high,,"Link GE2 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1273,,201922181,GE4,1631781903,1631781604,57486bb13ce6a7d67a9b700ad7a8c760,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1577,,202162232,GE3,1631780704,1631780402,097fb52f57d813f800094aa74eb70449,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,963,,201922181,GE4,1631771703,1631771403,3617cb875daa0959598d9e7eaab44ab2,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,963,,201922181,GE4,1631770204,1631769904,b46a499b11881028e4145a05e50eace4,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
"packet_loss_percent",948,,201922181,GE4,1631768103,1631739604,0d2793ff89f37ef939c5621de5401cb2,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
